Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
80,13,False,20,0,12,0,False,False,UHA-Farm-80.html,
81,13,False,32,0,31,0,False,False,UHA-Farm-81.html,
82,13,False,18,0,2,0,False,False,UHA-Farm-82.html,
83,14,False,13,0,23,0,False,False,UHA-Farm-83.html,
84,14,False,4,0,16,0,False,False,UHA-Farm-84.html,
85,14,False,9,0,8,0,False,False,UHA-Farm-85.html,
86,15,False,3,0,11,0,False,False,UHA-Farm-86.html,
87,15,False,26,0,15,0,False,False,UHA-Farm-87.html,
88,15,False,10,0,6,0,False,False,UHA-Farm-88.html,
89,15,False,18,0,29,0,False,False,UHA-Farm-89.html,
90,15,False,27,0,17,0,False,False,UHA-Farm-90.html,
91,15,False,12,0,25,0,False,False,UHA-Farm-91.html,
92,15,False,1,0,30,0,False,False,UHA-Farm-92.html,
93,15,False,20,0,5,0,False,False,UHA-Farm-93.html,
94,16,False,23,0,13,0,False,False,UHA-Farm-94.html,
95,16,False,15,0,26,0,False,False,UHA-Farm-95.html,
96,16,False,32,0,10,0,False,False,UHA-Farm-96.html,
97,16,False,16,0,24,0,False,False,UHA-Farm-97.html,
98,16,False,19,0,28,0,False,False,UHA-Farm-98.html,
99,16,False,22,0,31,0,False,False,UHA-Farm-99.html,
100,16,False,14,0,9,0,False,False,UHA-Farm-100.html,
101,16,False,5,0,2,0,False,False,UHA-Farm-101.html,
102,16,False,7,0,21,0,False,False,UHA-Farm-102.html,
103,17,False,6,0,20,0,False,False,UHA-Farm-103.html,
104,17,False,4,0,11,0,False,False,UHA-Farm-104.html,
105,17,False,29,0,1,0,False,False,UHA-Farm-105.html,
106,17,False,3,0,12,0,False,False,UHA-Farm-106.html,
107,17,False,17,0,8,0,False,False,UHA-Farm-107.html,
108,17,False,14,0,27,0,False,False,UHA-Farm-108.html,
109,17,False,30,0,7,0,False,False,UHA-Farm-109.html,
110,17,False,25,0,19,0,False,False,UHA-Farm-110.html,
111,18,False,23,0,32,0,False,False,UHA-Farm-111.html,
112,18,False,5,0,16,0,False,False,UHA-Farm-112.html,
113,18,False,21,0,18,0,False,False,UHA-Farm-113.html,
114,18,False,2,0,13,0,False,False,UHA-Farm-114.html,
115,18,False,8,0,22,0,False,False,UHA-Farm-115.html,
116,18,False,9,0,3,0,False,False,UHA-Farm-116.html,
117,18,False,11,0,6,0,False,False,UHA-Farm-117.html,
118,18,False,31,0,26,0,False,False,UHA-Farm-118.html,
119,19,False,25,0,15,0,False,False,UHA-Farm-119.html,
120,19,False,18,0,29,0,False,False,UHA-Farm-120.html,
121,19,False,24,0,4,0,False,False,UHA-Farm-121.html,
122,19,False,27,0,30,0,False,False,UHA-Farm-122.html,
123,19,False,16,0,10,0,False,False,UHA-Farm-123.html,
124,19,False,20,0,17,0,False,False,UHA-Farm-124.html,
125,19,False,19,0,14,0,False,False,UHA-Farm-125.html,
126,19,False,9,0,23,0,False,False,UHA-Farm-126.html,
127,20,False,22,0,5,0,False,False,UHA-Farm-127.html,
128,20,False,13,0,25,0,False,False,UHA-Farm-128.html,
129,20,False,1,0,28,0,False,False,UHA-Farm-129.html,
130,20,False,12,0,24,0,False,False,UHA-Farm-130.html,
131,20,False,2,0,31,0,False,False,UHA-Farm-131.html,
132,21,False,8,0,7,0,False,False,UHA-Farm-132.html,
133,21,False,10,0,20,0,False,False,UHA-Farm-133.html,
134,21,False,22,0,21,0,False,False,UHA-Farm-134.html,
135,21,False,4,0,32,0,False,False,UHA-Farm-135.html,
136,21,False,17,0,27,0,False,False,UHA-Farm-136.html,
137,21,False,3,0,11,0,False,False,UHA-Farm-137.html,
138,22,False,6,0,9,0,False,False,UHA-Farm-138.html,
139,22,False,18,0,12,0,False,False,UHA-Farm-139.html,
140,22,False,15,0,26,0,False,False,UHA-Farm-140.html,
141,22,False,19,0,2,0,False,False,UHA-Farm-141.html,
142,22,False,23,0,1,0,False,False,UHA-Farm-142.html,
143,23,False,4,0,29,0,False,False,UHA-Farm-143.html,
144,23,False,28,0,13,0,False,False,UHA-Farm-144.html,
145,23,False,14,0,16,0,False,False,UHA-Farm-145.html,
146,23,False,24,0,8,0,False,False,UHA-Farm-146.html,
147,23,False,20,0,3,0,False,False,UHA-Farm-147.html,
148,23,False,11,0,30,0,False,False,UHA-Farm-148.html,
149,24,False,3,0,15,0,False,False,UHA-Farm-149.html,
150,24,False,7,0,6,0,False,False,UHA-Farm-150.html,
151,24,False,21,0,19,0,False,False,UHA-Farm-151.html,
152,25,False,23,0,4,0,False,False,UHA-Farm-152.html,
153,25,False,26,0,14,0,False,False,UHA-Farm-153.html,
154,25,False,32,0,10,0,False,False,UHA-Farm-154.html,
155,25,False,22,0,17,0,False,False,UHA-Farm-155.html,
156,25,False,11,0,5,0,False,False,UHA-Farm-156.html,
157,25,False,24,0,18,0,False,False,UHA-Farm-157.html,
158,25,False,13,0,25,0,False,False,UHA-Farm-158.html,
159,25,False,30,0,28,0,False,False,UHA-Farm-159.html,
160,26,False,8,0,22,0,False,False,UHA-Farm-160.html,
161,26,False,29,0,23,0,False,False,UHA-Farm-161.html,
162,26,False,20,0,31,0,False,False,UHA-Farm-162.html,
163,26,False,15,0,27,0,False,False,UHA-Farm-163.html,
164,26,False,2,0,9,0,False,False,UHA-Farm-164.html,
165,26,False,21,0,1,0,False,False,UHA-Farm-165.html,
166,27,False,30,0,24,0,False,False,UHA-Farm-166.html,
167,27,False,4,0,7,0,False,False,UHA-Farm-167.html,
168,27,False,25,0,12,0,False,False,UHA-Farm-168.html,
169,27,False,16,0,32,0,False,False,UHA-Farm-169.html,
170,28,False,28,0,2,0,False,False,UHA-Farm-170.html,
171,28,False,9,0,19,0,False,False,UHA-Farm-171.html,
172,28,False,17,0,6,0,False,False,UHA-Farm-172.html,
173,28,False,8,0,20,0,False,False,UHA-Farm-173.html,
174,29,False,27,0,26,0,False,False,UHA-Farm-174.html,
175,29,False,30,0,29,0,False,False,UHA-Farm-175.html,
176,29,False,25,0,21,0,False,False,UHA-Farm-176.html,
177,29,False,4,0,16,0,False,False,UHA-Farm-177.html,
178,29,False,31,0,13,0,False,False,UHA-Farm-178.html,
179,30,False,14,0,10,0,False,False,UHA-Farm-179.html,
180,30,False,3,0,15,0,False,False,UHA-Farm-180.html,
181,30,False,1,0,5,0,False,False,UHA-Farm-181.html,
182,31,False,30,0,18,0,False,False,UHA-Farm-182.html,
183,31,False,16,0,11,0,False,False,UHA-Farm-183.html,
184,31,False,21,0,17,0,False,False,UHA-Farm-184.html,
185,31,False,12,0,22,0,False,False,UHA-Farm-185.html,
186,32,False,27,0,3,0,False,False,UHA-Farm-186.html,
187,32,False,6,0,14,0,False,False,UHA-Farm-187.html,
188,32,False,15,0,8,0,False,False,UHA-Farm-188.html,
189,32,False,10,0,23,0,False,False,UHA-Farm-189.html,
190,32,False,31,0,25,0,False,False,UHA-Farm-190.html,
191,32,False,7,0,4,0,False,False,UHA-Farm-191.html,
192,32,False,32,0,30,0,False,False,UHA-Farm-192.html,
193,32,False,24,0,28,0,False,False,UHA-Farm-193.html,
194,33,False,13,0,1,0,False,False,UHA-Farm-194.html,
195,33,False,11,0,29,0,False,False,UHA-Farm-195.html,
196,33,False,26,0,20,0,False,False,UHA-Farm-196.html,
197,33,False,22,0,19,0,False,False,UHA-Farm-197.html,
198,33,False,5,0,2,0,False,False,UHA-Farm-198.html,
199,33,False,16,0,9,0,False,False,UHA-Farm-199.html,
200,33,False,21,0,12,0,False,False,UHA-Farm-200.html,
201,33,False,23,0,7,0,False,False,UHA-Farm-201.html,
202,34,False,10,0,24,0,False,False,UHA-Farm-202.html,
203,34,False,28,0,31,0,False,False,UHA-Farm-203.html,
204,34,False,14,0,32,0,False,False,UHA-Farm-204.html,
205,34,False,15,0,6,0,False,False,UHA-Farm-205.html,
206,34,False,27,0,18,0,False,False,UHA-Farm-206.html,
207,34,False,8,0,26,0,False,False,UHA-Farm-207.html,
208,34,False,4,0,17,0,False,False,UHA-Farm-208.html,
209,34,False,16,0,3,0,False,False,UHA-Farm-209.html,
210,34,False,25,0,5,0,False,False,UHA-Farm-210.html,
211,35,False,13,0,11,0,False,False,UHA-Farm-211.html,
212,35,False,20,0,21,0,False,False,UHA-Farm-212.html,
213,35,False,17,0,27,0,False,False,UHA-Farm-213.html,
214,35,False,9,0,22,0,False,False,UHA-Farm-214.html,
215,35,False,1,0,8,0,False,False,UHA-Farm-215.html,
216,35,False,4,0,15,0,False,False,UHA-Farm-216.html,
217,36,False,16,0,14,0,False,False,UHA-Farm-217.html,
218,36,False,31,0,23,0,False,False,UHA-Farm-218.html,
219,36,False,28,0,10,0,False,False,UHA-Farm-219.html,
220,36,False,30,0,13,0,False,False,UHA-Farm-220.html,
221,36,False,12,0,25,0,False,False,UHA-Farm-221.html,
222,36,False,7,0,19,0,False,False,UHA-Farm-222.html,
223,36,False,18,0,29,0,False,False,UHA-Farm-223.html,
224,36,False,22,0,2,0,False,False,UHA-Farm-224.html,
225,37,False,11,0,4,0,False,False,UHA-Farm-225.html,
226,37,False,26,0,30,0,False,False,UHA-Farm-226.html,
227,37,False,23,0,24,0,False,False,UHA-Farm-227.html,
228,37,False,9,0,32,0,False,False,UHA-Farm-228.html,
229,38,False,5,0,16,0,False,False,UHA-Farm-229.html,
230,38,False,14,0,28,0,False,False,UHA-Farm-230.html,
231,38,False,25,0,7,0,False,False,UHA-Farm-231.html,
232,38,False,31,0,12,0,False,False,UHA-Farm-232.html,
233,39,False,32,0,20,0,False,False,UHA-Farm-233.html,
234,39,False,8,0,1,0,False,False,UHA-Farm-234.html,
235,39,False,13,0,6,0,False,False,UHA-Farm-235.html,
236,39,False,15,0,3,0,False,False,UHA-Farm-236.html,
237,39,False,29,0,26,0,False,False,UHA-Farm-237.html,
238,39,False,24,0,18,0,False,False,UHA-Farm-238.html,
239,39,False,2,0,21,0,False,False,UHA-Farm-239.html,
240,39,False,10,0,27,0,False,False,UHA-Farm-240.html,
241,40,False,11,0,9,0,False,False,UHA-Farm-241.html,
242,40,False,22,0,31,0,False,False,UHA-Farm-242.html,
243,40,False,12,0,5,0,False,False,UHA-Farm-243.html,
244,40,False,25,0,17,0,False,False,UHA-Farm-244.html,
245,40,False,28,0,14,0,False,False,UHA-Farm-245.html,
246,41,False,13,0,23,0,False,False,UHA-Farm-246.html,
247,41,False,29,0,8,0,False,False,UHA-Farm-247.html,
248,41,False,32,0,10,0,False,False,UHA-Farm-248.html,
249,41,False,7,0,15,0,False,False,UHA-Farm-249.html,
250,41,False,26,0,11,0,False,False,UHA-Farm-250.html,
251,41,False,3,0,30,0,False,False,UHA-Farm-251.html,
252,41,False,20,0,4,0,False,False,UHA-Farm-252.html,
253,41,False,24,0,16,0,False,False,UHA-Farm-253.html,
254,41,False,18,0,22,0,False,False,UHA-Farm-254.html,
255,42,False,21,0,13,0,False,False,UHA-Farm-255.html,
256,42,False,1,0,25,0,False,False,UHA-Farm-256.html,
257,42,False,31,0,19,0,False,False,UHA-Farm-257.html,
258,42,False,27,0,2,0,False,False,UHA-Farm-258.html,
259,42,False,28,0,6,0,False,False,UHA-Farm-259.html,
260,43,False,29,0,20,0,False,False,UHA-Farm-260.html,
261,43,False,3,0,32,0,False,False,UHA-Farm-261.html,
262,43,False,8,0,24,0,False,False,UHA-Farm-262.html,
263,43,False,14,0,7,0,False,False,UHA-Farm-263.html,
264,43,False,10,0,9,0,False,False,UHA-Farm-264.html,
265,44,False,2,0,12,0,False,False,UHA-Farm-265.html,
266,44,False,6,0,1,0,False,False,UHA-Farm-266.html,
267,44,False,4,0,28,0,False,False,UHA-Farm-267.html,
268,44,False,27,0,21,0,False,False,UHA-Farm-268.html,
269,44,False,19,0,26,0,False,False,UHA-Farm-269.html,
270,45,False,23,0,17,0,False,False,UHA-Farm-270.html,
271,45,False,25,0,5,0,False,False,UHA-Farm-271.html,
272,45,False,32,0,31,0,False,False,UHA-Farm-272.html,
273,45,False,9,0,18,0,False,False,UHA-Farm-273.html,
274,46,False,27,0,29,0,False,False,UHA-Farm-274.html,
275,46,False,24,0,3,0,False,False,UHA-Farm-275.html,
276,46,False,8,0,15,0,False,False,UHA-Farm-276.html,
277,46,False,7,0,11,0,False,False,UHA-Farm-277.html,
278,46,False,20,0,10,0,False,False,UHA-Farm-278.html,
279,46,False,13,0,14,0,False,False,UHA-Farm-279.html,
280,46,False,19,0,22,0,False,False,UHA-Farm-280.html,
281,46,False,26,0,30,0,False,False,UHA-Farm-281.html,
282,46,False,1,0,16,0,False,False,UHA-Farm-282.html,
283,47,False,28,0,23,0,False,False,UHA-Farm-283.html,
284,47,False,12,0,27,0,False,False,UHA-Farm-284.html,
285,47,False,21,0,4,0,False,False,UHA-Farm-285.html,
286,47,False,5,0,8,0,False,False,UHA-Farm-286.html,
287,47,False,2,0,13,0,False,False,UHA-Farm-287.html,
288,47,False,17,0,25,0,False,False,UHA-Farm-288.html,
289,48,False,18,0,6,0,False,False,UHA-Farm-289.html,
290,48,False,9,0,19,0,False,False,UHA-Farm-290.html,
291,48,False,15,0,20,0,False,False,UHA-Farm-291.html,
292,48,False,7,0,1,0,False,False,UHA-Farm-292.html,
293,48,False,30,0,24,0,False,False,UHA-Farm-293.html,
294,49,False,5,0,2,0,False,False,UHA-Farm-294.html,
295,49,False,17,0,28,0,False,False,UHA-Farm-295.html,
296,49,False,10,0,29,0,False,False,UHA-Farm-296.html,
297,49,False,22,0,12,0,False,False,UHA-Farm-297.html,
298,49,False,23,0,31,0,False,False,UHA-Farm-298.html,
299,49,False,16,0,32,0,False,False,UHA-Farm-299.html,
300,50,False,21,0,11,0,False,False,UHA-Farm-300.html,
301,50,False,20,0,9,0,False,False,UHA-Farm-301.html,
302,50,False,24,0,26,0,False,False,UHA-Farm-302.html,
303,50,False,18,0,3,0,False,False,UHA-Farm-303.html,
304,50,False,27,0,7,0,False,False,UHA-Farm-304.html,
305,51,False,17,0,5,0,False,False,UHA-Farm-305.html,
306,51,False,15,0,14,0,False,False,UHA-Farm-306.html,
307,51,False,25,0,21,0,False,False,UHA-Farm-307.html,
308,51,False,28,0,18,0,False,False,UHA-Farm-308.html,
309,52,False,22,0,4,0,False,False,UHA-Farm-309.html,
310,52,False,11,0,13,0,False,False,UHA-Farm-310.html,
311,52,False,8,0,27,0,False,False,UHA-Farm-311.html,
312,52,False,7,0,30,0,False,False,UHA-Farm-312.html,
313,53,False,32,0,17,0,False,False,UHA-Farm-313.html,
314,53,False,6,0,10,0,False,False,UHA-Farm-314.html,
315,53,False,29,0,23,0,False,False,UHA-Farm-315.html,
316,53,False,12,0,15,0,False,False,UHA-Farm-316.html,
317,53,False,14,0,16,0,False,False,UHA-Farm-317.html,
318,53,False,1,0,22,0,False,False,UHA-Farm-318.html,
319,53,False,24,0,8,0,False,False,UHA-Farm-319.html,
320,53,False,19,0,25,0,False,False,UHA-Farm-320.html,
321,53,False,9,0,2,0,False,False,UHA-Farm-321.html,
322,54,False,18,0,31,0,False,False,UHA-Farm-322.html,
323,54,False,30,0,6,0,False,False,UHA-Farm-323.html,
324,54,False,3,0,19,0,False,False,UHA-Farm-324.html,
325,54,False,20,0,26,0,False,False,UHA-Farm-325.html,
326,54,False,11,0,28,0,False,False,UHA-Farm-326.html,
327,54,False,13,0,1,0,False,False,UHA-Farm-327.html,
328,54,False,4,0,29,0,False,False,UHA-Farm-328.html,
329,54,False,5,0,12,0,False,False,UHA-Farm-329.html,
330,55,False,2,0,32,0,False,False,UHA-Farm-330.html,
331,55,False,24,0,21,0,False,False,UHA-Farm-331.html,
332,55,False,23,0,9,0,False,False,UHA-Farm-332.html,
333,55,False,10,0,7,0,False,False,UHA-Farm-333.html,
334,55,False,27,0,3,0,False,False,UHA-Farm-334.html,
335,56,False,26,0,20,0,False,False,UHA-Farm-335.html,
336,56,False,8,0,18,0,False,False,UHA-Farm-336.html,
337,56,False,5,0,16,0,False,False,UHA-Farm-337.html,
338,56,False,22,0,11,0,False,False,UHA-Farm-338.html,
339,56,False,25,0,15,0,False,False,UHA-Farm-339.html,
340,57,False,1,0,14,0,False,False,UHA-Farm-340.html,
341,57,False,6,0,24,0,False,False,UHA-Farm-341.html,
342,57,False,12,0,17,0,False,False,UHA-Farm-342.html,
343,57,False,13,0,23,0,False,False,UHA-Farm-343.html,
344,57,False,27,0,4,0,False,False,UHA-Farm-344.html,
345,57,False,19,0,10,0,False,False,UHA-Farm-345.html,
346,57,False,2,0,30,0,False,False,UHA-Farm-346.html,
347,57,False,21,0,5,0,False,False,UHA-Farm-347.html,
348,58,False,18,0,8,0,False,False,UHA-Farm-348.html,
349,58,False,29,0,22,0,False,False,UHA-Farm-349.html,
350,58,False,26,0,13,0,False,False,UHA-Farm-350.html,
351,58,False,32,0,27,0,False,False,UHA-Farm-351.html,
352,59,False,2,0,25,0,False,False,UHA-Farm-352.html,
353,59,False,24,0,31,0,False,False,UHA-Farm-353.html,
354,59,False,7,0,6,0,False,False,UHA-Farm-354.html,
355,59,False,11,0,19,0,False,False,UHA-Farm-355.html,
356,60,False,15,0,28,0,False,False,UHA-Farm-356.html,
357,60,False,14,0,20,0,False,False,UHA-Farm-357.html,
358,60,False,16,0,3,0,False,False,UHA-Farm-358.html,
359,60,False,12,0,1,0,False,False,UHA-Farm-359.html,
360,60,False,21,0,29,0,False,False,UHA-Farm-360.html,
361,60,False,5,0,9,0,False,False,UHA-Farm-361.html,
362,60,False,10,0,32,0,False,False,UHA-Farm-362.html,
363,60,False,22,0,26,0,False,False,UHA-Farm-363.html,
364,60,False,8,0,17,0,False,False,UHA-Farm-364.html,
365,61,False,18,0,2,0,False,False,UHA-Farm-365.html,
366,61,False,11,0,7,0,False,False,UHA-Farm-366.html,
367,61,False,6,0,12,0,False,False,UHA-Farm-367.html,
368,61,False,13,0,24,0,False,False,UHA-Farm-368.html,
369,62,False,15,0,21,0,False,False,UHA-Farm-369.html,
370,62,False,4,0,23,0,False,False,UHA-Farm-370.html,
371,62,False,28,0,16,0,False,False,UHA-Farm-371.html,
372,62,False,8,0,14,0,False,False,UHA-Farm-372.html,
373,63,False,6,0,30,0,False,False,UHA-Farm-373.html,
374,63,False,1,0,18,0,False,False,UHA-Farm-374.html,
375,63,False,31,0,11,0,False,False,UHA-Farm-375.html,
376,63,False,24,0,10,0,False,False,UHA-Farm-376.html,
377,63,False,26,0,5,0,False,False,UHA-Farm-377.html,
378,63,False,20,0,27,0,False,False,UHA-Farm-378.html,
379,63,False,7,0,4,0,False,False,UHA-Farm-379.html,
380,63,False,9,0,15,0,False,False,UHA-Farm-380.html,
381,63,False,3,0,25,0,False,False,UHA-Farm-381.html,
382,64,False,28,0,13,0,False,False,UHA-Farm-382.html,
383,64,False,23,0,22,0,False,False,UHA-Farm-383.html,
384,64,False,19,0,8,0,False,False,UHA-Farm-384.html,
385,64,False,21,0,31,0,False,False,UHA-Farm-385.html,
386,65,False,2,0,32,0,False,False,UHA-Farm-386.html,
387,65,False,7,0,29,0,False,False,UHA-Farm-387.html,
388,65,False,12,0,19,0,False,False,UHA-Farm-388.html,
389,65,False,6,0,9,0,False,False,UHA-Farm-389.html,
390,66,False,5,0,17,0,False,False,UHA-Farm-390.html,
391,66,False,16,0,1,0,False,False,UHA-Farm-391.html,
392,66,False,26,0,3,0,False,False,UHA-Farm-392.html,
393,67,False,2,0,20,0,False,False,UHA-Farm-393.html,
394,67,False,24,0,28,0,False,False,UHA-Farm-394.html,
395,67,False,8,0,12,0,False,False,UHA-Farm-395.html,
396,67,False,31,0,14,0,False,False,UHA-Farm-396.html,
397,67,False,25,0,6,0,False,False,UHA-Farm-397.html,
398,67,False,27,0,30,0,False,False,UHA-Farm-398.html,
399,67,False,9,0,15,0,False,False,UHA-Farm-399.html,
400,67,False,10,0,23,0,False,False,UHA-Farm-400.html,
401,68,False,26,0,21,0,False,False,UHA-Farm-401.html,
402,68,False,5,0,4,0,False,False,UHA-Farm-402.html,
403,68,False,29,0,7,0,False,False,UHA-Farm-403.html,
404,68,False,1,0,11,0,False,False,UHA-Farm-404.html,
405,68,False,3,0,16,0,False,False,UHA-Farm-405.html,
406,69,False,28,0,2,0,False,False,UHA-Farm-406.html,
407,69,False,32,0,18,0,False,False,UHA-Farm-407.html,
408,69,False,24,0,13,0,False,False,UHA-Farm-408.html,
409,69,False,15,0,10,0,False,False,UHA-Farm-409.html,
410,69,False,6,0,27,0,False,False,UHA-Farm-410.html,
411,69,False,25,0,22,0,False,False,UHA-Farm-411.html,
412,69,False,12,0,26,0,False,False,UHA-Farm-412.html,
413,69,False,23,0,5,0,False,False,UHA-Farm-413.html,
414,70,False,21,0,24,0,False,False,UHA-Farm-414.html,
415,70,False,11,0,8,0,False,False,UHA-Farm-415.html,
416,70,False,20,0,25,0,False,False,UHA-Farm-416.html,
417,70,False,30,0,19,0,False,False,UHA-Farm-417.html,
418,70,False,7,0,31,0,False,False,UHA-Farm-418.html,
419,70,False,3,0,17,0,False,False,UHA-Farm-419.html,
420,70,False,16,0,29,0,False,False,UHA-Farm-420.html,
421,70,False,1,0,32,0,False,False,UHA-Farm-421.html,
422,71,False,13,0,9,0,False,False,UHA-Farm-422.html,
423,71,False,10,0,14,0,False,False,UHA-Farm-423.html,
424,71,False,12,0,28,0,False,False,UHA-Farm-424.html,
425,71,False,22,0,20,0,False,False,UHA-Farm-425.html,
426,71,False,4,0,2,0,False,False,UHA-Farm-426.html,
427,71,False,15,0,6,0,False,False,UHA-Farm-427.html,
428,71,False,27,0,18,0,False,False,UHA-Farm-428.html,
429,71,False,23,0,3,0,False,False,UHA-Farm-429.html,
430,71,False,30,0,1,0,False,False,UHA-Farm-430.html,
431,72,False,11,0,7,0,False,False,UHA-Farm-431.html,
432,72,False,8,0,16,0,False,False,UHA-Farm-432.html,
433,72,False,19,0,21,0,False,False,UHA-Farm-433.html,
434,72,False,31,0,26,0,False,False,UHA-Farm-434.html,
435,73,False,23,0,4,0,False,False,UHA-Farm-435.html,
436,73,False,14,0,12,0,False,False,UHA-Farm-436.html,
437,73,False,25,0,30,0,False,False,UHA-Farm-437.html,
438,73,False,29,0,10,0,False,False,UHA-Farm-438.html,
439,74,False,3,0,5,0,False,False,UHA-Farm-439.html,
440,74,False,32,0,11,0,False,False,UHA-Farm-440.html,
441,74,False,1,0,24,0,False,False,UHA-Farm-441.html,
442,74,False,2,0,15,0,False,False,UHA-Farm-442.html,
443,75,False,9,0,22,0,False,False,UHA-Farm-443.html,
444,75,False,14,0,27,0,False,False,UHA-Farm-444.html,
445,75,False,20,0,13,0,False,False,UHA-Farm-445.html,
446,75,False,12,0,23,0,False,False,UHA-Farm-446.html,
447,75,False,25,0,8,0,False,False,UHA-Farm-447.html,
448,75,False,4,0,19,0,False,False,UHA-Farm-448.html,
