Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,ArenaCapacity #3,ArenaCapacity #4,ArenaCapacity #5,TicketPrice #1,TicketPrice #2,TicketPrice #3,TicketPrice #4,TicketPrice #5,Attendance #1,Attendance #2,Attendance #3,Attendance #4,Attendance #5,SeasonTicketPCT,Finance,Payroll,TotalPlayersSalaries,ExpensePerDay,TotalAttendance,TotalIncome,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,LinesLoad,PlayOffWinRound,LuxuryTaxeTotal,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
11,Edmonton Oilers,EDM,Edmonton,,,,Rogers Place,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11453,9440,3625,7246,1823,40,8748178,3722940,79759784,415416,33587,2384325,95,82,45,False,1,0,0,0,,W3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,25,8,2,2,0,0,0,0,0,0,15,6,20,11,10,3,1,97,88,31,38,30,29,0,6,10,9,0,3767,4069,2964,1407,2612,1505,0,25,39,64,20,61,32,56,37,71,32,55,0,
12,Florida Panthers,FLA,Sunrise,,,,Amerant Bank Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15283,14260,5613,10210,2779,40,10069332,3415626,74972770,390483,48145,3391405,131,82,45,False,3,0,0,0,,W3,4,1,0,0,0,0,0,5,3,1,0,1,0,0,0,8,21,15,3,2,1,0,0,0,0,0,15,11,22,7,23,8,1,152,158,48,46,55,45,6,6,9,5,1,6498,6609,5043,2568,3953,2631,0,21,37,58,51,82,57,117,50,90,31,65,0,
13,Los Angeles Kings,LAK,Los Angeles,,,,Crypto.com Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4826,1768,3392,898,40,7976169,3345813,71377365,371757,16884,1215840,76,82,36,False,28,0,0,0,,L2,1,2,0,0,0,0,1,4,1,2,0,0,0,0,1,3,14,19,1,1,0,0,0,0,0,0,6,4,16,5,16,3,1,129,142,53,40,58,29,6,4,4,6,0,5687,5186,3827,1981,3212,1857,0,14,23,37,32,76,34,87,51,88,35,67,0,
14,Minnesota Wild,MIN,Saint Paul,,,,Xcel Energy Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10242,9021,3623,7844,1972,40,9220824,3165435,67529194,351715,32702,2282765,83,82,40,False,14,0,0,0,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,17,17,2,1,1,0,0,0,0,0,8,8,14,2,16,5,0,118,131,66,43,37,38,0,8,4,5,0,5561,5098,3741,1992,3232,1797,0,17,25,42,32,72,35,83,43,78,26,65,0,
15,Montreal Canadiens,MTL,Montreal,,,,Bell Centre,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5431,5000,1878,3972,860,40,8222249,3081060,67803305,353142,17141,1180130,106,82,41,False,26,0,0,0,,W2,2,2,0,0,0,0,0,4,1,2,0,1,0,0,0,4,9,15,1,1,0,0,0,0,0,0,2,1,14,0,18,5,1,106,118,51,32,39,32,3,3,4,1,1,5562,5006,3850,2080,2891,1863,0,9,15,24,38,66,49,83,45,92,30,56,0,
16,Nashville Predators,NSH,Nashville,,,,Bridgestone Arena,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11493,9676,3680,7658,1942,40,9221979,3348216,71428686,372024,34449,2438510,7,82,40,False,15,0,0,0,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,12,13,2,1,1,0,0,0,0,0,6,5,22,7,13,4,0,119,124,40,38,36,45,0,3,1,8,0,5417,5164,3819,1954,3193,1932,0,12,18,30,26,73,29,70,53,94,26,56,0,
17,New Jersey Devils,NJD,Newark,,,,Prudential Center,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,40,6734966,3233367,68978502,359263,0,0,155,82,39,False,18,0,0,0,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,11,12,0,0,0,0,0,0,0,0,0,0,10,1,9,0,0,89,88,26,39,30,20,0,6,2,3,0,3903,4058,2839,1451,2584,1456,0,11,20,31,18,54,23,51,22,49,24,43,0,
18,New York Islanders,NYI,Elmont,,,,UBS Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10739,9036,3822,7430,1943,40,9077912,3281022,69995192,364558,32970,2324180,129,82,41,False,10,0,0,0,,W2,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,10,7,2,2,0,0,0,0,0,0,8,4,14,4,13,1,0,113,81,27,42,34,37,0,6,2,2,0,3469,4432,2899,1431,2824,1450,0,10,16,26,26,55,28,49,28,64,25,37,0,
19,New York Rangers,NYR,New York,,,,Madison Square Garden,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,16627,13908,5425,10742,2737,40,10441557,3169044,67606220,352116,49439,3503005,115,82,39,False,29,0,0,0,,L2,2,3,0,0,0,0,0,5,2,3,0,0,0,0,0,4,19,29,3,1,2,0,0,0,0,0,8,18,17,4,28,16,1,148,182,57,70,41,37,0,8,6,5,0,6863,6305,4832,2425,3964,2408,0,19,31,50,56,75,51,120,47,86,39,83,0,
20,Ottawa Senators,OTT,Kanata,,,,Canadian Tire Centre,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5377,4184,1669,3775,854,40,8096861,3115818,66470871,346202,15859,1112330,170,82,33,False,31,0,0,0,,L3,0,3,0,0,1,0,0,4,0,3,0,0,1,0,0,1,13,22,1,0,1,0,0,0,0,0,3,5,23,6,28,9,2,125,136,46,47,50,26,2,5,3,5,0,5588,5333,3609,1970,3331,1712,0,13,17,30,61,97,36,82,45,89,42,63,0,
21,Philadelphia Flyers,PHI,Philadelphia,,,,Wells Fargo Center,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5866,4890,1829,3589,862,40,8368709,2892267,61701652,321363,17036,1206140,139,82,39,False,27,0,0,0,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,8,12,1,0,1,0,0,0,0,0,1,2,13,4,12,5,0,84,90,26,31,27,26,0,1,4,3,0,4107,3673,3020,1642,2194,1436,0,8,10,18,24,47,19,51,32,58,21,38,0,
22,Pittsburgh Penguins,PIT,Pittsburgh,,,,PPG Paints Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11176,9156,3653,7248,1919,40,9044784,3410838,72764625,378982,33152,2359815,31,82,40,False,16,0,0,0,,W1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,16,17,2,1,1,0,0,0,0,0,6,7,25,7,14,4,0,124,121,31,33,46,45,0,2,6,8,0,5180,5314,3906,2027,3256,1965,0,16,27,43,28,63,37,67,51,91,28,65,0,
23,San Jose Sharks,SJS,San Jose,,,,SAP Center,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,16972,14826,5475,10948,2752,40,10941795,2670300,56966484,296700,50973,3602485,148,82,38,False,19,0,0,0,,SOL1,1,1,0,0,0,0,1,3,1,1,0,0,0,0,1,3,6,8,3,1,1,0,0,0,0,1,6,8,13,1,9,1,1,82,94,37,23,29,26,7,3,2,1,0,4115,3816,3169,1608,2179,1627,0,6,10,16,18,71,25,50,27,65,19,36,0,
24,Seattle Kraken,SEA,Seattle,,,,Climate Pledge Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10636,9390,3705,7593,1876,40,9063713,3416022,72875220,379558,33200,2321700,96,82,39,False,24,0,0,0,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,9,12,2,1,1,0,0,0,0,0,8,10,15,5,10,2,0,90,96,40,23,48,19,0,1,6,2,0,4125,4048,2627,1533,2650,1259,0,9,14,23,20,49,33,67,30,61,18,43,0,
25,St. Louis Blues,STL,St. Louis,,,,Enterprise Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11995,8403,3776,7556,1867,40,9056369,3390903,70265216,365965,33597,2398140,77,82,37,False,25,0,0,0,,W1,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0,2,14,17,2,1,1,0,0,0,0,0,7,7,13,1,23,7,1,116,123,44,24,43,49,0,3,5,6,0,5326,5127,3947,2022,2990,2008,1,14,20,34,46,86,43,88,38,77,29,58,0,
26,Tampa Bay Lightning,TBL,Tampa,,,,Amalie Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11511,9275,3673,7299,1807,40,8839410,3574089,76247229,397121,33565,2380030,89,82,44,False,7,0,0,0,,L1,3,1,0,0,0,0,0,4,2,1,0,1,0,0,0,6,21,15,2,1,0,0,1,0,0,0,12,7,17,4,17,4,1,135,121,36,43,40,51,1,7,7,6,1,4956,5807,3767,1896,3807,1882,0,21,29,50,34,88,38,77,42,79,25,63,0,
27,Toronto Maple Leafs,TOR,Toronto,,,,Scotiabank Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15565,14319,5713,11061,2689,40,9895301,3597786,75152798,391421,49347,3429920,26,82,46,False,2,0,0,0,,W4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,19,7,3,3,0,0,0,0,0,0,15,4,16,4,17,4,0,113,112,44,48,31,34,0,7,2,10,0,4770,5719,3911,2010,3658,2000,0,19,29,48,32,72,58,101,37,73,32,58,0,
28,Utah Mammoth,UTA,Salt Lake City,,,,Delta Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4265,2000,3732,922,40,8405710,2902977,61930211,322553,16919,1203600,6,82,40,False,21,0,0,0,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,11,15,1,0,1,0,0,0,0,0,2,3,12,4,21,3,2,113,124,56,33,38,42,0,4,3,4,0,5506,4911,3983,2051,2955,1902,0,11,19,30,42,77,43,97,41,76,17,50,0,
29,Vancouver Canucks,VAN,Vancouver,,,,Rogers Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10703,9053,3853,7820,1844,40,9217833,3093264,65989677,343696,33273,2312635,2,82,41,False,9,0,0,0,,W1,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,16,12,2,2,0,0,0,0,0,0,11,6,16,7,16,3,1,103,84,32,32,36,35,0,6,6,4,0,3702,4322,2776,1462,2832,1374,0,16,27,43,30,62,33,64,34,58,21,48,0,
30,Vegas Golden Knights,VGK,Paradise,,,,T-Mobile Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4852,1915,3758,967,40,7718882,3536316,77041461,401258,17492,1245495,19,82,41,False,13,0,0,0,,L1,2,2,0,0,0,0,0,4,1,2,0,0,0,1,0,4,12,10,1,0,0,0,0,0,1,0,2,1,9,1,11,3,0,146,107,47,51,48,44,7,3,2,6,1,5065,5812,3823,1990,3775,1993,0,12,16,28,22,69,40,74,49,85,27,53,0,
31,Washington Capitals,WSH,Washington,,,,Capital One Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11548,9638,3714,7871,1984,40,9139736,3442434,74344933,387213,34755,2456645,156,82,43,False,5,0,0,0,,W2,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,20,13,2,2,0,0,0,0,0,0,13,9,24,8,12,5,1,141,123,37,54,40,47,0,10,3,7,0,4906,5576,3918,1957,3540,2016,0,20,33,53,24,78,35,80,47,90,34,59,0,
32,Winnipeg Jets,WPG,Winnipeg,,,,Canada Life Centre,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10104,9082,3674,7491,1822,40,8568141,3771540,80459429,419060,32173,2235585,150,82,38,False,20,0,0,0,,L1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,12,13,2,1,1,0,0,0,0,0,10,8,7,2,14,4,0,84,99,32,29,23,32,0,5,3,4,0,4229,3666,2905,1552,2296,1427,0,12,21,33,28,44,32,64,26,52,24,50,0,
