Number,Transaction,DateTime,Empty
121,Farm Schedule has been created.,2025-08-15 2:25:10 PM,
122,Leon Draisaitl was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
123,William Nylander was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
124,Alex Ovechkin was added to Washington Capitals.,2025-08-15 2:37:08 PM,
125,Tage Thompson was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
126,David Pastrnak was added to Boston Bruins.,2025-08-15 2:37:08 PM,
127,Brayden Point was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
128,Kyle Connor was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
129,Jake Guentzel was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
130,Mark Scheifele was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
131,Sam Reinhart was added to Florida Panthers.,2025-08-15 2:37:08 PM,
132,Alex DeBrincat was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
133,John Tavares was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
134,Nikita Kucherov was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
135,Artemi Panarin was added to New York Rangers.,2025-08-15 2:37:08 PM,
136,Cole Caufield was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
137,Jordan Kyrou was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
138,Alex Tuch was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
139,Brandon Hagel was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
140,Jason Robertson was added to Dallas Stars.,2025-08-15 2:37:08 PM,
141,Adrian Kempe was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
142,Rickard Rakell was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
143,Nico Hischier was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
144,Nazem Kadri was added to Calgary Flames.,2025-08-15 2:37:08 PM,
145,Kevin Fiala was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
146,Pavel Dorofeyev was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
147,Sidney Crosby was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
148,Auston Matthews was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
149,Wyatt Johnston was added to Dallas Stars.,2025-08-15 2:37:08 PM,
150,Tom Wilson was added to Washington Capitals.,2025-08-15 2:37:08 PM,
151,Morgan Geekie was added to Boston Bruins.,2025-08-15 2:37:08 PM,
152,Nathan MacKinnon was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
153,Mikko Rantanen was added to Dallas Stars.,2025-08-15 2:37:08 PM,
154,Seth Jarvis was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
155,Tomas Hertl was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
156,Filip Forsberg was added to Nashville Predators.,2025-08-15 2:37:08 PM,
157,Kirill Marchenko was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
158,Bryan Rust was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
159,Ryan Donato was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
160,Adam Fantilli was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
161,Cale Makar was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
162,Clayton Keller was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
163,Nick Suzuki was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
164,Matt Duchene was added to Dallas Stars.,2025-08-15 2:37:08 PM,
165,Dylan Larkin was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
166,Aliaksei Protas was added to Washington Capitals.,2025-08-15 2:37:08 PM,
167,Tyler Toffoli was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
168,Dylan Strome was added to Washington Capitals.,2025-08-15 2:37:08 PM,
169,Sebastian Aho was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
170,Matthew Knies was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
171,Brady Tkachuk was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
172,Anders Lee was added to New York Islanders.,2025-08-15 2:37:08 PM,
173,Jack Eichel was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
174,Roope Hintz was added to Dallas Stars.,2025-08-15 2:37:08 PM,
175,Jonathan Huberdeau was added to Calgary Flames.,2025-08-15 2:37:08 PM,
176,Bo Horvat was added to New York Islanders.,2025-08-15 2:37:08 PM,
177,Jake DeBrusk was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
178,Mitch Marner was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
179,Martin Necas was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
180,Lucas Raymond was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
181,Matt Boldy was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
182,Jack Hughes was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
183,JJ Peterka was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
184,Gabriel Vilardi was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
185,Dylan Guenther was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
186,Anthony Cirelli was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
187,Steven Stamkos was added to Nashville Predators.,2025-08-15 2:37:08 PM,
188,Artturi Lehkonen was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
189,Zach Hyman was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
190,Connor McDavid was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
191,Drake Batherson was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
192,Dylan Holloway was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
193,Matvei Michkov was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
194,Vincent Trocheck was added to New York Rangers.,2025-08-15 2:37:08 PM,
195,Connor McMichael was added to Washington Capitals.,2025-08-15 2:37:08 PM,
196,Brock Nelson was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
197,Timo Meier was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
198,Jaden Schwartz was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
199,Logan Cooley was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
200,Macklin Celebrini was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
201,Kirill Kaprizov was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
202,Sam Bennett was added to Florida Panthers.,2025-08-15 2:37:08 PM,
203,Brock Boeser was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
204,Pius Suter was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
205,Tyson Foerster was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
206,Travis Konecny was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
207,Nikolaj Ehlers was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
208,Marco Rossi was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
209,Kent Johnson was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
210,Kyle Palmieri was added to New York Islanders.,2025-08-15 2:37:08 PM,
211,Matt Coronato was added to Calgary Flames.,2025-08-15 2:37:08 PM,
212,Warren Foegele was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
213,Zach Werenski was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
214,Connor Bedard was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
215,Quinton Byfield was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
216,Ivan Barbashev was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
217,Brad Marchand was added to Florida Panthers.,2025-08-15 2:37:08 PM,
218,Dmitri Voronkov was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
219,Tyler Bertuzzi was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
220,Brett Howden was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
221,Eeli Tolvanen was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
222,J.T. Miller was added to New York Rangers.,2025-08-15 2:37:08 PM,
223,Mikael Granlund was added to Dallas Stars.,2025-08-15 2:37:08 PM,
224,Jared McCann was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
225,Matthew Tkachuk was added to Florida Panthers.,2025-08-15 2:37:08 PM,
226,Mason McTavish was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
227,Mason Marchment was added to Dallas Stars.,2025-08-15 2:37:08 PM,
228,Jake Neighbours was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
229,Nick Paul was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
230,Stefan Noesen was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
231,Jack Roslovic was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
232,Chris Kreider was added to New York Rangers.,2025-08-15 2:37:08 PM,
233,Jesper Bratt was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
234,Robert Thomas was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
235,Anze Kopitar was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
236,Patrick Kane was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
237,Jonathan Marchessault was added to Nashville Predators.,2025-08-15 2:37:08 PM,
238,Troy Terry was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
239,Jason Zucker was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
240,Ryan O'Reilly was added to Nashville Predators.,2025-08-15 2:37:08 PM,
241,Oliver Bjorkstrand was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
242,Frank Vatrano was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
243,Brendan Gallagher was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
244,Shane Pinto was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
245,Josh Norris was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
246,Valeri Nichushkin was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
247,Aleksander Barkov was added to Florida Panthers.,2025-08-15 2:37:08 PM,
248,Pierre-Luc Dubois was added to Washington Capitals.,2025-08-15 2:37:08 PM,
249,Nick Schmaltz was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
250,Mika Zibanejad was added to New York Rangers.,2025-08-15 2:37:08 PM,
251,Pavel Buchnevich was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
252,Ryan McLeod was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
253,Carter Verhaeghe was added to Florida Panthers.,2025-08-15 2:37:08 PM,
254,Ryan Nugent-Hopkins was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
255,Andrei Svechnikov was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
256,Jakob Chychrun was added to Washington Capitals.,2025-08-15 2:37:08 PM,
257,Barrett Hayton was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
258,Simon Holmstrom was added to New York Islanders.,2025-08-15 2:37:08 PM,
259,Leo Carlsson was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
260,Will Cuylle was added to New York Rangers.,2025-08-15 2:37:08 PM,
261,Cutter Gauthier was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
262,Owen Tippett was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
263,Matty Beniers was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
264,Evgenii Dadonov was added to Dallas Stars.,2025-08-15 2:37:08 PM,
265,Bobby McMann was added to Toronto Maple Leafs.,2025-08-15 2:37:08 PM,
266,Ilya Mikheyev was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
267,Patrik Laine was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
268,Mark Stone was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
269,Sean Monahan was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
270,Mats Zuccarello was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
271,Conor Garland was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
272,Shane Wright was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
273,Alex Laferriere was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
274,Fabian Zetterlund was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
275,Kiefer Sherwood was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
276,Michael Bunting was added to Nashville Predators.,2025-08-15 2:37:08 PM,
277,Marco Kasper was added to Detroit Red Wings.,2025-08-15 2:37:08 PM,
278,Alex Killorn was added to Anaheim Ducks.,2025-08-15 2:37:08 PM,
279,Zack Bolduc was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
280,Dawson Mercer was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
281,Corey Perry was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
282,Adam Gaudette was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
283,Brayden Schenn was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
284,Cole Perfetti was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
285,Will Smith was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
286,Taylor Hall was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
287,Brandon Montour was added to Seattle Kraken.,2025-08-15 2:37:08 PM,
288,Trevor Moore was added to Los Angeles Kings.,2025-08-15 2:37:08 PM,
289,Frederick Gaudreau was added to Minnesota Wild.,2025-08-15 2:37:08 PM,
290,Mathieu Olivier was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
291,Rasmus Dahlin was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
292,William Eklund was added to San Jose Sharks.,2025-08-15 2:37:08 PM,
293,Elias Lindholm was added to Boston Bruins.,2025-08-15 2:37:08 PM,
294,Anton Lundell was added to Florida Panthers.,2025-08-15 2:37:08 PM,
295,Nino Niederreiter was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
296,Charlie Coyle was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
297,Jackson Blake was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
298,Yegor Sharangovich was added to Calgary Flames.,2025-08-15 2:37:08 PM,
299,Quinn Hughes was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
300,Evgeni Malkin was added to Pittsburgh Penguins.,2025-08-15 2:37:08 PM,
301,Thomas Harley was added to Dallas Stars.,2025-08-15 2:37:08 PM,
302,Jamie Benn was added to Dallas Stars.,2025-08-15 2:37:08 PM,
303,Dylan Cozens was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
304,Noah Cates was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
305,Colton Parayko was added to St. Louis Blues.,2025-08-15 2:37:08 PM,
306,James van Riemsdyk was added to Columbus Blue Jackets.,2025-08-15 2:37:08 PM,
307,Adam Lowry was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
308,Ross Colton was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
309,Jeff Skinner was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
310,Joel Kiviranta was added to Colorado Avalanche.,2025-08-15 2:37:08 PM,
311,Paul Cotter was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
312,Victor Hedman was added to Tampa Bay Lightning.,2025-08-15 2:37:08 PM,
313,Teuvo Teravainen was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
314,Mikhail Sergachev was added to Utah Mammoth.,2025-08-15 2:37:08 PM,
315,Claude Giroux was added to Ottawa Senators.,2025-08-15 2:37:08 PM,
316,Elias Pettersson was added to Vancouver Canucks.,2025-08-15 2:37:08 PM,
317,Sean Couturier was added to Philadelphia Flyers.,2025-08-15 2:37:08 PM,
318,Casey Mittelstadt was added to Boston Bruins.,2025-08-15 2:37:08 PM,
319,Jack Quinn was added to Buffalo Sabres.,2025-08-15 2:37:08 PM,
320,Blake Coleman was added to Calgary Flames.,2025-08-15 2:37:08 PM,
321,Jordan Martinook was added to Carolina Hurricanes.,2025-08-15 2:37:08 PM,
322,Nick Foligno was added to Chicago Blackhawks.,2025-08-15 2:37:08 PM,
323,Mikael Backlund was added to Calgary Flames.,2025-08-15 2:37:08 PM,
324,Evan Rodrigues was added to Florida Panthers.,2025-08-15 2:37:08 PM,
325,Nicolas Roy was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
326,Mackie Samoskevich was added to Florida Panthers.,2025-08-15 2:37:08 PM,
327,Alex Iafallo was added to Winnipeg Jets.,2025-08-15 2:37:08 PM,
328,Victor Olofsson was added to Vegas Golden Knights.,2025-08-15 2:37:08 PM,
329,Ondrej Palat was added to New Jersey Devils.,2025-08-15 2:37:08 PM,
330,Viktor Arvidsson was added to Edmonton Oilers.,2025-08-15 2:37:08 PM,
331,Josh Anderson was added to Montreal Canadiens.,2025-08-15 2:37:08 PM,
