Number,Transaction
132,[2025-08-15 2:37:08 PM] - Alex DeBrincat was added to Detroit Red Wings.
133,[2025-08-15 2:37:08 PM] - John Tavares was added to Toronto Maple Leafs.
134,[2025-08-15 2:37:08 PM] - Nikita Kucherov was added to Tampa Bay Lightning.
135,[2025-08-15 2:37:08 PM] - Artemi Panarin was added to New York Rangers.
136,[2025-08-15 2:37:08 PM] - Cole Caufield was added to Montreal Canadiens.
137,[2025-08-15 2:37:08 PM] - Jordan Kyrou was added to St. Louis Blues.
138,[2025-08-15 2:37:08 PM] - Alex Tuch was added to Buffalo Sabres.
139,[2025-08-15 2:37:08 PM] - Brandon Hagel was added to Tampa Bay Lightning.
140,[2025-08-15 2:37:08 PM] - Jason Robertson was added to Dallas Stars.
141,[2025-08-15 2:37:08 PM] - Adrian Kempe was added to Los Angeles Kings.
142,[2025-08-15 2:37:08 PM] - Rickard Rakell was added to Pittsburgh Penguins.
143,[2025-08-15 2:37:08 PM] - Nico Hischier was added to New Jersey Devils.
144,[2025-08-15 2:37:08 PM] - Nazem Kadri was added to Calgary Flames.
145,[2025-08-15 2:37:08 PM] - Kevin Fiala was added to Los Angeles Kings.
146,[2025-08-15 2:37:08 PM] - Pavel Dorofeyev was added to Vegas Golden Knights.
147,[2025-08-15 2:37:08 PM] - Sidney Crosby was added to Pittsburgh Penguins.
148,[2025-08-15 2:37:08 PM] - Auston Matthews was added to Toronto Maple Leafs.
149,[2025-08-15 2:37:08 PM] - Wyatt Johnston was added to Dallas Stars.
150,[2025-08-15 2:37:08 PM] - Tom Wilson was added to Washington Capitals.
151,[2025-08-15 2:37:08 PM] - Morgan Geekie was added to Boston Bruins.
152,[2025-08-15 2:37:08 PM] - Nathan MacKinnon was added to Colorado Avalanche.
153,[2025-08-15 2:37:08 PM] - Mikko Rantanen was added to Dallas Stars.
154,[2025-08-15 2:37:08 PM] - Seth Jarvis was added to Carolina Hurricanes.
155,[2025-08-15 2:37:08 PM] - Tomas Hertl was added to Vegas Golden Knights.
156,[2025-08-15 2:37:08 PM] - Filip Forsberg was added to Nashville Predators.
157,[2025-08-15 2:37:08 PM] - Kirill Marchenko was added to Columbus Blue Jackets.
158,[2025-08-15 2:37:08 PM] - Bryan Rust was added to Pittsburgh Penguins.
159,[2025-08-15 2:37:08 PM] - Ryan Donato was added to Chicago Blackhawks.
160,[2025-08-15 2:37:08 PM] - Adam Fantilli was added to Columbus Blue Jackets.
161,[2025-08-15 2:37:08 PM] - Cale Makar was added to Colorado Avalanche.
162,[2025-08-15 2:37:08 PM] - Clayton Keller was added to Utah Mammoth.
163,[2025-08-15 2:37:08 PM] - Nick Suzuki was added to Montreal Canadiens.
164,[2025-08-15 2:37:08 PM] - Matt Duchene was added to Dallas Stars.
165,[2025-08-15 2:37:08 PM] - Dylan Larkin was added to Detroit Red Wings.
166,[2025-08-15 2:37:08 PM] - Aliaksei Protas was added to Washington Capitals.
167,[2025-08-15 2:37:08 PM] - Tyler Toffoli was added to San Jose Sharks.
168,[2025-08-15 2:37:08 PM] - Dylan Strome was added to Washington Capitals.
169,[2025-08-15 2:37:08 PM] - Sebastian Aho was added to Carolina Hurricanes.
170,[2025-08-15 2:37:08 PM] - Matthew Knies was added to Toronto Maple Leafs.
171,[2025-08-15 2:37:08 PM] - Brady Tkachuk was added to Ottawa Senators.
172,[2025-08-15 2:37:08 PM] - Anders Lee was added to New York Islanders.
173,[2025-08-15 2:37:08 PM] - Jack Eichel was added to Vegas Golden Knights.
174,[2025-08-15 2:37:08 PM] - Roope Hintz was added to Dallas Stars.
175,[2025-08-15 2:37:08 PM] - Jonathan Huberdeau was added to Calgary Flames.
176,[2025-08-15 2:37:08 PM] - Bo Horvat was added to New York Islanders.
177,[2025-08-15 2:37:08 PM] - Jake DeBrusk was added to Vancouver Canucks.
178,[2025-08-15 2:37:08 PM] - Mitch Marner was added to Toronto Maple Leafs.
179,[2025-08-15 2:37:08 PM] - Martin Necas was added to Colorado Avalanche.
180,[2025-08-15 2:37:08 PM] - Lucas Raymond was added to Detroit Red Wings.
181,[2025-08-15 2:37:08 PM] - Matt Boldy was added to Minnesota Wild.
182,[2025-08-15 2:37:08 PM] - Jack Hughes was added to New Jersey Devils.
183,[2025-08-15 2:37:08 PM] - JJ Peterka was added to Buffalo Sabres.
184,[2025-08-15 2:37:08 PM] - Gabriel Vilardi was added to Winnipeg Jets.
185,[2025-08-15 2:37:08 PM] - Dylan Guenther was added to Utah Mammoth.
186,[2025-08-15 2:37:08 PM] - Anthony Cirelli was added to Tampa Bay Lightning.
187,[2025-08-15 2:37:08 PM] - Steven Stamkos was added to Nashville Predators.
188,[2025-08-15 2:37:08 PM] - Artturi Lehkonen was added to Colorado Avalanche.
189,[2025-08-15 2:37:08 PM] - Zach Hyman was added to Edmonton Oilers.
190,[2025-08-15 2:37:08 PM] - Connor McDavid was added to Edmonton Oilers.
191,[2025-08-15 2:37:08 PM] - Drake Batherson was added to Ottawa Senators.
192,[2025-08-15 2:37:08 PM] - Dylan Holloway was added to St. Louis Blues.
193,[2025-08-15 2:37:08 PM] - Matvei Michkov was added to Philadelphia Flyers.
194,[2025-08-15 2:37:08 PM] - Vincent Trocheck was added to New York Rangers.
195,[2025-08-15 2:37:08 PM] - Connor McMichael was added to Washington Capitals.
196,[2025-08-15 2:37:08 PM] - Brock Nelson was added to Colorado Avalanche.
197,[2025-08-15 2:37:08 PM] - Timo Meier was added to New Jersey Devils.
198,[2025-08-15 2:37:08 PM] - Jaden Schwartz was added to Seattle Kraken.
199,[2025-08-15 2:37:08 PM] - Logan Cooley was added to Utah Mammoth.
200,[2025-08-15 2:37:08 PM] - Macklin Celebrini was added to San Jose Sharks.
201,[2025-08-15 2:37:08 PM] - Kirill Kaprizov was added to Minnesota Wild.
202,[2025-08-15 2:37:08 PM] - Sam Bennett was added to Florida Panthers.
203,[2025-08-15 2:37:08 PM] - Brock Boeser was added to Vancouver Canucks.
204,[2025-08-15 2:37:08 PM] - Pius Suter was added to Vancouver Canucks.
205,[2025-08-15 2:37:08 PM] - Tyson Foerster was added to Philadelphia Flyers.
206,[2025-08-15 2:37:08 PM] - Travis Konecny was added to Philadelphia Flyers.
207,[2025-08-15 2:37:08 PM] - Nikolaj Ehlers was added to Winnipeg Jets.
208,[2025-08-15 2:37:08 PM] - Marco Rossi was added to Minnesota Wild.
209,[2025-08-15 2:37:08 PM] - Kent Johnson was added to Columbus Blue Jackets.
210,[2025-08-15 2:37:08 PM] - Kyle Palmieri was added to New York Islanders.
211,[2025-08-15 2:37:08 PM] - Matt Coronato was added to Calgary Flames.
212,[2025-08-15 2:37:08 PM] - Warren Foegele was added to Los Angeles Kings.
213,[2025-08-15 2:37:08 PM] - Zach Werenski was added to Columbus Blue Jackets.
214,[2025-08-15 2:37:08 PM] - Connor Bedard was added to Chicago Blackhawks.
215,[2025-08-15 2:37:08 PM] - Quinton Byfield was added to Los Angeles Kings.
216,[2025-08-15 2:37:08 PM] - Ivan Barbashev was added to Vegas Golden Knights.
217,[2025-08-15 2:37:08 PM] - Brad Marchand was added to Florida Panthers.
218,[2025-08-15 2:37:08 PM] - Dmitri Voronkov was added to Columbus Blue Jackets.
219,[2025-08-15 2:37:08 PM] - Tyler Bertuzzi was added to Chicago Blackhawks.
220,[2025-08-15 2:37:08 PM] - Brett Howden was added to Vegas Golden Knights.
221,[2025-08-15 2:37:08 PM] - Eeli Tolvanen was added to Seattle Kraken.
222,[2025-08-15 2:37:08 PM] - J.T. Miller was added to New York Rangers.
223,[2025-08-15 2:37:08 PM] - Mikael Granlund was added to Dallas Stars.
224,[2025-08-15 2:37:08 PM] - Jared McCann was added to Seattle Kraken.
225,[2025-08-15 2:37:08 PM] - Matthew Tkachuk was added to Florida Panthers.
226,[2025-08-15 2:37:08 PM] - Mason McTavish was added to Anaheim Ducks.
227,[2025-08-15 2:37:08 PM] - Mason Marchment was added to Dallas Stars.
228,[2025-08-15 2:37:08 PM] - Jake Neighbours was added to St. Louis Blues.
229,[2025-08-15 2:37:08 PM] - Nick Paul was added to Tampa Bay Lightning.
230,[2025-08-15 2:37:08 PM] - Stefan Noesen was added to New Jersey Devils.
231,[2025-08-15 2:37:08 PM] - Jack Roslovic was added to Carolina Hurricanes.
232,[2025-08-15 2:37:08 PM] - Chris Kreider was added to New York Rangers.
233,[2025-08-15 2:37:08 PM] - Jesper Bratt was added to New Jersey Devils.
234,[2025-08-15 2:37:08 PM] - Robert Thomas was added to St. Louis Blues.
235,[2025-08-15 2:37:08 PM] - Anze Kopitar was added to Los Angeles Kings.
236,[2025-08-15 2:37:08 PM] - Patrick Kane was added to Detroit Red Wings.
237,[2025-08-15 2:37:08 PM] - Jonathan Marchessault was added to Nashville Predators.
238,[2025-08-15 2:37:08 PM] - Troy Terry was added to Anaheim Ducks.
239,[2025-08-15 2:37:08 PM] - Jason Zucker was added to Buffalo Sabres.
240,[2025-08-15 2:37:08 PM] - Ryan O'Reilly was added to Nashville Predators.
241,[2025-08-15 2:37:08 PM] - Oliver Bjorkstrand was added to Tampa Bay Lightning.
242,[2025-08-15 2:37:08 PM] - Frank Vatrano was added to Anaheim Ducks.
243,[2025-08-15 2:37:08 PM] - Brendan Gallagher was added to Montreal Canadiens.
244,[2025-08-15 2:37:08 PM] - Shane Pinto was added to Ottawa Senators.
245,[2025-08-15 2:37:08 PM] - Josh Norris was added to Buffalo Sabres.
246,[2025-08-15 2:37:08 PM] - Valeri Nichushkin was added to Colorado Avalanche.
247,[2025-08-15 2:37:08 PM] - Aleksander Barkov was added to Florida Panthers.
248,[2025-08-15 2:37:08 PM] - Pierre-Luc Dubois was added to Washington Capitals.
249,[2025-08-15 2:37:08 PM] - Nick Schmaltz was added to Utah Mammoth.
250,[2025-08-15 2:37:08 PM] - Mika Zibanejad was added to New York Rangers.
251,[2025-08-15 2:37:08 PM] - Pavel Buchnevich was added to St. Louis Blues.
252,[2025-08-15 2:37:08 PM] - Ryan McLeod was added to Buffalo Sabres.
253,[2025-08-15 2:37:08 PM] - Carter Verhaeghe was added to Florida Panthers.
254,[2025-08-15 2:37:08 PM] - Ryan Nugent-Hopkins was added to Edmonton Oilers.
255,[2025-08-15 2:37:08 PM] - Andrei Svechnikov was added to Carolina Hurricanes.
256,[2025-08-15 2:37:08 PM] - Jakob Chychrun was added to Washington Capitals.
257,[2025-08-15 2:37:08 PM] - Barrett Hayton was added to Utah Mammoth.
258,[2025-08-15 2:37:08 PM] - Simon Holmstrom was added to New York Islanders.
259,[2025-08-15 2:37:08 PM] - Leo Carlsson was added to Anaheim Ducks.
260,[2025-08-15 2:37:08 PM] - Will Cuylle was added to New York Rangers.
261,[2025-08-15 2:37:08 PM] - Cutter Gauthier was added to Anaheim Ducks.
262,[2025-08-15 2:37:08 PM] - Owen Tippett was added to Philadelphia Flyers.
263,[2025-08-15 2:37:08 PM] - Matty Beniers was added to Seattle Kraken.
264,[2025-08-15 2:37:08 PM] - Evgenii Dadonov was added to Dallas Stars.
265,[2025-08-15 2:37:08 PM] - Bobby McMann was added to Toronto Maple Leafs.
266,[2025-08-15 2:37:08 PM] - Ilya Mikheyev was added to Chicago Blackhawks.
267,[2025-08-15 2:37:08 PM] - Patrik Laine was added to Montreal Canadiens.
268,[2025-08-15 2:37:08 PM] - Mark Stone was added to Vegas Golden Knights.
269,[2025-08-15 2:37:08 PM] - Sean Monahan was added to Columbus Blue Jackets.
270,[2025-08-15 2:37:08 PM] - Mats Zuccarello was added to Minnesota Wild.
271,[2025-08-15 2:37:08 PM] - Conor Garland was added to Vancouver Canucks.
272,[2025-08-15 2:37:08 PM] - Shane Wright was added to Seattle Kraken.
273,[2025-08-15 2:37:08 PM] - Alex Laferriere was added to Los Angeles Kings.
274,[2025-08-15 2:37:08 PM] - Fabian Zetterlund was added to Ottawa Senators.
275,[2025-08-15 2:37:08 PM] - Kiefer Sherwood was added to Vancouver Canucks.
276,[2025-08-15 2:37:08 PM] - Michael Bunting was added to Nashville Predators.
277,[2025-08-15 2:37:08 PM] - Marco Kasper was added to Detroit Red Wings.
278,[2025-08-15 2:37:08 PM] - Alex Killorn was added to Anaheim Ducks.
279,[2025-08-15 2:37:08 PM] - Zack Bolduc was added to St. Louis Blues.
280,[2025-08-15 2:37:08 PM] - Dawson Mercer was added to New Jersey Devils.
281,[2025-08-15 2:37:08 PM] - Corey Perry was added to Edmonton Oilers.
282,[2025-08-15 2:37:08 PM] - Adam Gaudette was added to Ottawa Senators.
283,[2025-08-15 2:37:08 PM] - Brayden Schenn was added to St. Louis Blues.
284,[2025-08-15 2:37:08 PM] - Cole Perfetti was added to Winnipeg Jets.
285,[2025-08-15 2:37:08 PM] - Will Smith was added to San Jose Sharks.
286,[2025-08-15 2:37:08 PM] - Taylor Hall was added to Carolina Hurricanes.
287,[2025-08-15 2:37:08 PM] - Brandon Montour was added to Seattle Kraken.
288,[2025-08-15 2:37:08 PM] - Trevor Moore was added to Los Angeles Kings.
289,[2025-08-15 2:37:08 PM] - Frederick Gaudreau was added to Minnesota Wild.
290,[2025-08-15 2:37:08 PM] - Mathieu Olivier was added to Columbus Blue Jackets.
291,[2025-08-15 2:37:08 PM] - Rasmus Dahlin was added to Buffalo Sabres.
292,[2025-08-15 2:37:08 PM] - William Eklund was added to San Jose Sharks.
293,[2025-08-15 2:37:08 PM] - Elias Lindholm was added to Boston Bruins.
294,[2025-08-15 2:37:08 PM] - Anton Lundell was added to Florida Panthers.
295,[2025-08-15 2:37:08 PM] - Nino Niederreiter was added to Winnipeg Jets.
296,[2025-08-15 2:37:08 PM] - Charlie Coyle was added to Colorado Avalanche.
297,[2025-08-15 2:37:08 PM] - Jackson Blake was added to Carolina Hurricanes.
298,[2025-08-15 2:37:08 PM] - Yegor Sharangovich was added to Calgary Flames.
299,[2025-08-15 2:37:08 PM] - Quinn Hughes was added to Vancouver Canucks.
300,[2025-08-15 2:37:08 PM] - Evgeni Malkin was added to Pittsburgh Penguins.
301,[2025-08-15 2:37:08 PM] - Thomas Harley was added to Dallas Stars.
302,[2025-08-15 2:37:08 PM] - Jamie Benn was added to Dallas Stars.
303,[2025-08-15 2:37:08 PM] - Dylan Cozens was added to Ottawa Senators.
304,[2025-08-15 2:37:08 PM] - Noah Cates was added to Philadelphia Flyers.
305,[2025-08-15 2:37:08 PM] - Colton Parayko was added to St. Louis Blues.
306,[2025-08-15 2:37:08 PM] - James van Riemsdyk was added to Columbus Blue Jackets.
307,[2025-08-15 2:37:08 PM] - Adam Lowry was added to Winnipeg Jets.
308,[2025-08-15 2:37:08 PM] - Ross Colton was added to Colorado Avalanche.
309,[2025-08-15 2:37:08 PM] - Jeff Skinner was added to Edmonton Oilers.
310,[2025-08-15 2:37:08 PM] - Joel Kiviranta was added to Colorado Avalanche.
311,[2025-08-15 2:37:08 PM] - Paul Cotter was added to New Jersey Devils.
312,[2025-08-15 2:37:08 PM] - Victor Hedman was added to Tampa Bay Lightning.
313,[2025-08-15 2:37:08 PM] - Teuvo Teravainen was added to Chicago Blackhawks.
314,[2025-08-15 2:37:08 PM] - Mikhail Sergachev was added to Utah Mammoth.
315,[2025-08-15 2:37:08 PM] - Claude Giroux was added to Ottawa Senators.
316,[2025-08-15 2:37:08 PM] - Elias Pettersson was added to Vancouver Canucks.
317,[2025-08-15 2:37:08 PM] - Sean Couturier was added to Philadelphia Flyers.
318,[2025-08-15 2:37:08 PM] - Casey Mittelstadt was added to Boston Bruins.
319,[2025-08-15 2:37:08 PM] - Jack Quinn was added to Buffalo Sabres.
320,[2025-08-15 2:37:08 PM] - Blake Coleman was added to Calgary Flames.
321,[2025-08-15 2:37:08 PM] - Jordan Martinook was added to Carolina Hurricanes.
322,[2025-08-15 2:37:08 PM] - Nick Foligno was added to Chicago Blackhawks.
323,[2025-08-15 2:37:08 PM] - Mikael Backlund was added to Calgary Flames.
