Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacityL1,ArenaCapacityL2,ArenaCapacityL3,ArenaCapacityL4,ArenaCapacityL5,TicketPriceL1,TicketPriceL2,TicketPriceL3,TicketPriceL4,TicketPriceL5,AttendanceL1,AttendanceL2,AttendanceL3,AttendanceL4,AttendanceL5,SpecialSalaryCapY1,SpecialSalaryCapY2,SpecialSalaryCapY3,SpecialSalaryCapY4,SpecialSalaryCapY5,SpecialSalaryCapY6,SpecialSalaryCapY7,SpecialSalaryCapY8,SpecialSalaryCapY9,SpecialSalaryCapY10,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,Finance,LuxuryTaxeTotal,CoachID,Empty4,Morale,PowerRanking,LinesLoad,LastLoadFileDate,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,TotalSalaryCap,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
11,Edmonton Oilers,EDM,Edmonton,,,,Rogers Place,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11453,9440,3625,7246,1823,0,0,0,0,0,0,0,0,0,0,82,3722940,415416,79759784,79759784,415416,33587,2384325,3722940,40,100,8748178,0,95,,45,1,0,,,False,0,False,11,46494338,76021128,81025536,,W3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,25,8,2,2,0,0,0,0,0,0,15,6,20,11,10,3,1,97,88,31,38,30,29,0,6,10,9,0,3767,4069,2964,1407,2612,1505,0,25,39,64,20,61,32,56,37,71,32,55,0
12,Florida Panthers,FLA,Sunrise,,,,Amerant Bank Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15283,14260,5613,10210,2779,0,0,0,0,0,0,0,0,0,0,82,3415626,390483,74972770,74972770,390483,48145,3391405,3415626,40,100,10069332,0,131,,45,3,0,,,False,0,False,12,42957797,71458389,76098480,,W3,4,1,0,0,0,0,0,5,3,1,0,1,0,0,0,8,21,15,3,2,1,0,0,0,0,0,15,11,22,7,23,8,1,152,158,48,46,55,45,6,6,9,5,1,6498,6609,5043,2568,3953,2631,0,21,37,58,51,82,57,117,50,90,31,65,0
13,Los Angeles Kings,LAK,Los Angeles,,,,Crypto.com Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4826,1768,3392,898,0,0,0,0,0,0,0,0,0,0,82,3345813,371757,71377365,71377365,371757,16884,1215840,3345813,40,100,7976169,0,76,,36,28,0,,,False,0,False,13,48633600,68031531,72538368,,L2,1,2,0,0,0,0,1,4,1,2,0,0,0,0,1,3,14,19,1,1,0,0,0,0,0,0,6,4,16,5,16,3,1,129,142,53,40,58,29,6,4,4,6,0,5687,5186,3827,1981,3212,1857,0,14,23,37,32,76,34,87,51,88,35,67,0
14,Minnesota Wild,MIN,Saint Paul,,,,Xcel Energy Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10242,9021,3623,7844,1972,0,0,0,0,0,0,0,0,0,0,82,3165435,351715,67529194,67529194,351715,32702,2282765,3165435,40,100,9220824,0,83,,40,14,0,,,False,0,False,14,44513918,64363845,68781888,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,17,17,2,1,1,0,0,0,0,0,8,8,14,2,16,5,0,118,131,66,43,37,38,0,8,4,5,0,5561,5098,3741,1992,3232,1797,0,17,25,42,32,72,35,83,43,78,26,65,0
15,Montreal Canadiens,MTL,Montreal,,,,Bell Centre,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5431,5000,1878,3972,860,0,0,0,0,0,0,0,0,0,0,82,3081060,353142,67803305,67803305,353142,17141,1180130,3081060,40,100,8222249,0,106,,41,26,0,,,False,0,False,15,47205200,64624986,68435505,,W2,2,2,0,0,0,0,0,4,1,2,0,1,0,0,0,4,9,15,1,1,0,0,0,0,0,0,2,1,14,0,18,5,1,106,118,51,32,39,32,3,3,4,1,1,5562,5006,3850,2080,2891,1863,0,9,15,24,38,66,49,83,45,92,30,56,0
16,Nashville Predators,NSH,Nashville,,,,Bridgestone Arena,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11493,9676,3680,7658,1942,0,0,0,0,0,0,0,0,0,0,82,3348216,372024,71428686,71428686,372024,34449,2438510,3348216,40,100,9221979,0,7,,40,15,0,,,False,0,False,16,47550945,68080392,72053568,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,12,13,2,1,1,0,0,0,0,0,6,5,22,7,13,4,0,119,124,40,38,36,45,0,3,1,8,0,5417,5164,3819,1954,3193,1932,0,12,18,30,26,73,29,70,53,94,26,56,0
17,New Jersey Devils,NJD,Newark,,,,Prudential Center,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3233367,359263,68978502,68978502,359263,0,0,3233367,40,100,6734966,0,155,,39,18,0,,,False,0,False,17,0,65745129,71287872,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,11,12,0,0,0,0,0,0,0,0,0,0,10,1,9,0,0,89,88,26,39,30,20,0,6,2,3,0,3903,4058,2839,1451,2584,1456,0,11,20,31,18,54,23,51,22,49,24,43,0
18,New York Islanders,NYI,Elmont,,,,UBS Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10739,9036,3822,7430,1943,0,0,0,0,0,0,0,0,0,0,82,3281022,364558,69995192,69995192,364558,32970,2324180,3281022,40,100,9077912,0,129,,41,10,0,,,False,0,False,18,45321510,66714114,71007744,,W2,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,10,7,2,2,0,0,0,0,0,0,8,4,14,4,13,1,0,113,81,27,42,34,37,0,6,2,2,0,3469,4432,2899,1431,2824,1450,0,10,16,26,26,55,28,49,28,64,25,37,0
19,New York Rangers,NYR,New York,,,,Madison Square Garden,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,16627,13908,5425,10742,2737,0,0,0,0,0,0,0,0,0,0,82,3169044,352116,67606220,67606220,352116,49439,3503005,3169044,40,100,10441557,0,115,,39,29,0,,,False,0,False,19,44371397,64437228,68794944,,L2,2,3,0,0,0,0,0,5,2,3,0,0,0,0,0,4,19,29,3,1,2,0,0,0,0,0,8,18,17,4,28,16,1,148,182,57,70,41,37,0,8,6,5,0,6863,6305,4832,2425,3964,2408,0,19,31,50,56,75,51,120,47,86,39,83,0
20,Ottawa Senators,OTT,Kanata,,,,Canadian Tire Centre,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5377,4184,1669,3775,854,0,0,0,0,0,0,0,0,0,0,82,3115818,346202,66470871,66470871,346202,15859,1112330,3115818,40,100,8096861,0,170,,33,31,0,,,False,0,False,20,44493200,63354966,67596672,,L3,0,3,0,0,1,0,0,4,0,3,0,0,1,0,0,1,13,22,1,0,1,0,0,0,0,0,3,5,23,6,28,9,2,125,136,46,47,50,26,2,5,3,5,0,5588,5333,3609,1970,3331,1712,0,13,17,30,61,97,36,82,45,89,42,63,0
21,Philadelphia Flyers,PHI,Philadelphia,,,,Wells Fargo Center,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5866,4890,1829,3589,862,0,0,0,0,0,0,0,0,0,0,82,2892267,321363,61701652,61701652,321363,17036,1206140,2892267,40,100,8368709,0,139,,39,27,0,,,False,0,False,21,48245600,58809429,62397399,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,8,12,1,0,1,0,0,0,0,0,1,2,13,4,12,5,0,84,90,26,31,27,26,0,1,4,3,0,4107,3673,3020,1642,2194,1436,0,8,10,18,24,47,19,51,32,58,21,38,0
22,Pittsburgh Penguins,PIT,Pittsburgh,,,,PPG Paints Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11176,9156,3653,7248,1919,0,0,0,0,0,0,0,0,0,0,82,3410838,378982,72764625,72764625,378982,33152,2359815,3410838,40,100,9044784,0,31,,40,16,0,,,False,0,False,22,46016392,69353706,74299008,,W1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,16,17,2,1,1,0,0,0,0,0,6,7,25,7,14,4,0,124,121,31,33,46,45,0,2,6,8,0,5180,5314,3906,2027,3256,1965,0,16,27,43,28,63,37,67,51,91,28,65,0
23,San Jose Sharks,SJS,San Jose,,,,SAP Center,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,16972,14826,5475,10948,2752,0,0,0,0,0,0,0,0,0,0,82,2670300,296700,56966484,56966484,296700,50973,3602485,2670300,40,100,10941795,0,148,,38,19,0,,,False,0,False,23,45631477,54296100,58500480,,SOL1,1,1,0,0,0,0,1,3,1,1,0,0,0,0,1,3,6,8,3,1,1,0,0,0,0,1,6,8,13,1,9,1,1,82,94,37,23,29,26,7,3,2,1,0,4115,3816,3169,1608,2179,1627,0,6,10,16,18,71,25,50,27,65,19,36,0
24,Seattle Kraken,SEA,Seattle,,,,Climate Pledge Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10636,9390,3705,7593,1876,0,0,0,0,0,0,0,0,0,0,82,3416022,379558,72875220,72875220,379558,33200,2321700,3416022,40,100,9063713,0,96,,39,24,0,,,False,0,False,24,45273150,69459114,72875136,,L2,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,9,12,2,1,1,0,0,0,0,0,8,10,15,5,10,2,0,90,96,40,23,48,19,0,1,6,2,0,4125,4048,2627,1533,2650,1259,0,9,14,23,20,49,33,67,30,61,18,43,0
25,St. Louis Blues,STL,St. Louis,,,,Enterprise Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11995,8403,3776,7556,1867,0,0,0,0,0,0,0,0,0,0,82,3390903,365965,70265216,70265216,365965,33597,2398140,3390903,40,100,9056369,0,77,,37,25,0,,,False,0,False,25,46763730,66971595,71089551,,W1,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0,2,14,17,2,1,1,0,0,0,0,0,7,7,13,1,23,7,1,116,123,44,24,43,49,0,3,5,6,0,5326,5127,3947,2022,2990,2008,1,14,20,34,46,86,43,88,38,77,29,58,0
26,Tampa Bay Lightning,TBL,Tampa,,,,Amalie Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11511,9275,3673,7299,1807,0,0,0,0,0,0,0,0,0,0,82,3574089,397121,76247229,76247229,397121,33565,2380030,3574089,40,100,8839410,0,89,,44,7,0,,,False,0,False,26,46410585,72673143,77250240,,L1,3,1,0,0,0,0,0,4,2,1,0,1,0,0,0,6,21,15,2,1,0,0,1,0,0,0,12,7,17,4,17,4,1,135,121,36,43,40,51,1,7,7,6,1,4956,5807,3767,1896,3807,1882,0,21,29,50,34,88,38,77,42,79,25,63,0
27,Toronto Maple Leafs,TOR,Toronto,,,,Scotiabank Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15565,14319,5713,11061,2689,0,0,0,0,0,0,0,0,0,0,82,3597786,391421,75152798,75152798,391421,49347,3429920,3597786,40,100,9895301,0,26,,46,2,0,,,False,0,False,27,43445653,71630043,77114613,,W4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,19,7,3,3,0,0,0,0,0,0,15,4,16,4,17,4,0,113,112,44,48,31,34,0,7,2,10,0,4770,5719,3911,2010,3658,2000,0,19,29,48,32,72,58,101,37,73,32,58,0
28,Utah Mammoth,UTA,Salt Lake City,,,,Delta Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4265,2000,3732,922,0,0,0,0,0,0,0,0,0,0,82,2902977,322553,61930211,61930211,322553,16919,1203600,2902977,40,100,8405710,0,6,,40,21,0,,,False,0,False,28,48144000,59027199,63221760,,L1,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,11,15,1,0,1,0,0,0,0,0,2,3,12,4,21,3,2,113,124,56,33,38,42,0,4,3,4,0,5506,4911,3983,2051,2955,1902,0,11,19,30,42,77,43,97,41,76,17,50,0
29,Vancouver Canucks,VAN,Vancouver,,,,Rogers Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10703,9053,3853,7820,1844,0,0,0,0,0,0,0,0,0,0,82,3093264,343696,65989677,65989677,343696,33273,2312635,3093264,40,100,9217833,0,2,,41,9,0,,,False,0,False,29,45096382,62896368,67820736,,W1,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,16,12,2,2,0,0,0,0,0,0,11,6,16,7,16,3,1,103,84,32,32,36,35,0,6,6,4,0,3702,4322,2776,1462,2832,1374,0,16,27,43,30,62,33,64,34,58,21,48,0
30,Vegas Golden Knights,VGK,Paradise,,,,T-Mobile Arena,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4852,1915,3758,967,0,0,0,0,0,0,0,0,0,0,82,3536316,401258,77041461,77041461,401258,17492,1245495,3536316,40,100,7718882,0,19,,41,13,0,,,False,0,False,30,49819800,73430214,78556866,,L1,2,2,0,0,0,0,0,4,1,2,0,0,0,1,0,4,12,10,1,0,0,0,0,0,1,0,2,1,9,1,11,3,0,146,107,47,51,48,44,7,3,2,6,1,5065,5812,3823,1990,3775,1993,0,12,16,28,22,69,40,74,49,85,27,53,0
31,Washington Capitals,WSH,Washington,,,,Capital One Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11548,9638,3714,7871,1984,0,0,0,0,0,0,0,0,0,0,82,3442434,387213,74344933,74344933,387213,34755,2456645,3442434,40,100,9139736,0,156,,43,5,0,,,False,0,False,31,47904578,70859979,74908173,,W2,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,20,13,2,2,0,0,0,0,0,0,13,9,24,8,12,5,1,141,123,37,54,40,47,0,10,3,7,0,4906,5576,3918,1957,3540,2016,0,20,33,53,24,78,35,80,47,90,34,59,0
32,Winnipeg Jets,WPG,Winnipeg,,,,Canada Life Centre,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10104,9082,3674,7491,1822,0,0,0,0,0,0,0,0,0,0,82,3771540,419060,80459429,80459429,419060,32173,2235585,3771540,40,100,8568141,0,150,,38,20,0,,,False,0,False,32,43593908,76687980,81581952,,L1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,12,13,2,1,1,0,0,0,0,0,10,8,7,2,14,4,0,84,99,32,29,23,32,0,5,3,4,0,4229,3666,2905,1552,2296,1427,0,12,21,33,28,44,32,64,26,52,24,50,0
