InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
11,10,Adam Fantilli,https://www.nhl.com/player/8484166,8,CAN,2004-10-12,20,199,74,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,3282000,3282000,3282000,3282000,3282000,0,0,0,0,0,0,,0,100,0,8484166,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,73,36,92,75,80,87,85,76,74,72,77,67,75,62,69,89,43,71,3,5,1,0,1,-2,0,0,1,4,5,4,3,0,1,13,34,0,0,0,2674,0,0,0,1,185,0,0,0,487,9,1,438,0,0,0,0,1,0,0,340,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
12,11,Adam Fox,https://www.nhl.com/player/8479323,19,USA,1998-02-17,27,180,71,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,2606000,2606000,2606000,2606000,2606000,0,0,0,0,0,0,,0,100,0,8479323,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,64,34,85,76,68,94,88,78,30,92,76,84,58,70,76,56,44,75,5,20,3,6,9,3,6,0,13,5,3,5,9,0,0,0,0,0,0,0,7967,0,1,2,6,1052,0,1,0,1108,7,5,1097,0,0,0,0,0,0,0,1165,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,
13,12,Adam Gaudette,https://www.nhl.com/player/8478874,20,USA,1996-10-03,29,187,73,False,False,True,False,5,False,False,False,False,False,True,True,False,False,False,0,3596000,3596000,3596000,3596000,3596000,3596000,0,0,0,0,0,,0,100,0,8478874,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,68,51,86,68,75,90,88,66,76,61,71,63,68,72,71,45,34,66,4,3,0,0,0,-1,0,0,0,1,1,0,2,0,0,1,2,0,0,0,1128,0,0,0,0,0,0,0,0,0,5,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,
14,13,Adam Ginning,https://www.nhl.com/player/8480874,0,SWE,2000-01-13,25,196,75,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,2125000,2125000,0,0,0,0,0,0,0,0,0,,0,100,0,8480874,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,73,42,69,60,83,80,86,59,30,62,58,64,51,65,67,69,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,14,Adam Henrique,https://www.nhl.com/player/8474641,11,CAN,1990-02-06,35,195,72,True,False,False,False,3,False,False,False,False,False,True,True,False,False,False,0,2993000,2993000,2993000,2993000,0,0,0,0,0,0,0,,0,100,0,8474641,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,69,38,90,70,73,86,90,72,84,71,71,86,70,87,79,33,46,72,3,1,1,0,1,0,0,0,2,1,0,1,3,0,0,6,11,0,0,0,1364,0,0,0,0,0,0,0,0,46,0,0,93,0,0,0,0,0,0,195,585,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
16,15,Adam Klapka,https://www.nhl.com/player/8483609,4,CZE,2000-09-14,25,235,80,False,False,True,False,3,False,False,False,False,False,True,True,False,False,False,0,2653000,2653000,2653000,2653000,0,0,0,0,0,0,0,,0,98,0,8483609,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,88,57,66,64,99,84,85,63,65,60,67,67,64,66,67,42,47,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,4,2,6,0,14,0,3,7,13,7,6,1,0,19,34,0,1,0,4776,0,2,0,4,576,0,0,2,854,8,4,705,0,0,0,1,1,0,0,0,0,0,220,625,625,
17,16,Adam Larsson,https://www.nhl.com/player/8476457,24,SWE,1992-11-12,32,207,75,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,3194000,3194000,3194000,3194000,0,0,0,0,0,0,0,,0,100,0,8476457,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,75,43,83,66,85,93,90,64,30,73,62,92,51,85,74,53,39,75,3,7,0,1,1,-2,6,0,4,1,3,2,6,0,0,0,0,0,0,0,4574,0,0,0,2,771,0,0,0,434,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,
18,17,Adam Lowry,https://www.nhl.com/player/8476392,32,CAN,1993-03-29,32,210,77,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,4405000,4405000,4405000,4405000,4405000,0,0,0,0,0,0,,0,100,0,8476392,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,79,76,82,68,91,86,89,66,80,71,67,87,65,81,90,41,40,73,3,4,1,2,3,0,4,0,2,2,5,7,4,0,0,14,20,0,0,0,4037,0,0,0,0,348,0,0,0,12,2,3,220,0,0,0,0,0,0,0,465,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
19,18,Adam Pelech,https://www.nhl.com/player/8476917,0,CAN,1994-08-16,31,210,75,False,False,False,True,1,False,False,False,False,False,True,True,False,False,False,0,3518000,3518000,0,0,0,0,0,0,0,0,0,,0,100,0,8476917,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,40,84,66,85,91,82,61,30,77,52,85,48,76,72,52,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,19,Adam Raska,https://www.nhl.com/player/8482197,0,CZE,2001-09-25,24,178,70,False,False,True,False,3,False,False,False,False,False,True,True,False,False,False,0,1182000,1182000,1182000,1182000,0,0,0,0,0,0,0,,0,100,0,8482197,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,68,65,62,57,66,69,82,56,54,57,55,56,53,64,66,48,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,20,Adam Sykora,https://www.nhl.com/player/8483669,0,SVK,2004-09-07,21,179,70,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,2097000,2097000,2097000,0,0,0,0,0,0,0,0,,0,100,0,8483669,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,59,35,95,57,66,82,86,56,60,58,56,59,55,61,63,68,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,21,Adam Wilsby,https://www.nhl.com/player/8482482,16,SWE,2000-08-07,25,188,73,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,1989000,1989000,1989000,1989000,0,0,0,0,0,0,0,,0,100,0,8482482,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,65,38,88,66,75,85,78,65,30,64,59,62,51,65,67,59,39,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,3,6,-17,0,0,6,6,9,6,2,1,0,0,0,0,0,0,5009,1,1,1,7,666,0,0,1,843,4,6,453,0,0,0,1,0,0,1,1,0,0,895,895,895,
23,22,Adrian Kempe,https://www.nhl.com/player/8477960,13,SWE,1996-09-13,29,200,74,False,False,True,False,2,False,False,False,False,False,True,True,False,False,False,0,5175000,5175000,5175000,0,0,0,0,0,0,0,0,,0,97,0,8477960,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,73,36,78,84,79,89,90,80,57,81,81,76,83,75,74,64,42,76,4,10,4,2,6,-1,2,0,0,4,6,7,6,0,0,13,33,0,1,1,6002,1,1,0,1,633,0,0,0,986,5,4,439,0,0,0,1,0,0,0,945,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
24,23,Aidan Fulp,https://www.nhl.com/player/8484263,0,USA,2000-02-29,25,216,76,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,1425000,1425000,1425000,0,0,0,0,0,0,0,0,,0,100,0,8484263,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,81,41,89,53,90,63,75,52,30,55,51,59,45,65,67,42,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,24,Aidan McDonough,https://www.nhl.com/player/8481683,0,USA,1999-11-06,25,190,75,False,True,False,False,1,False,False,False,False,False,True,True,False,False,False,0,1808000,1808000,0,0,0,0,0,0,0,0,0,,0,100,0,8481683,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,72,41,90,64,81,86,73,63,62,60,66,61,65,67,68,47,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,25,Akil Thomas,https://www.nhl.com/player/8480851,13,CAN,2000-01-02,25,195,72,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,1342000,1342000,1342000,1342000,1342000,0,0,0,0,0,0,,0,99,0,8480851,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,65,39,84,66,73,84,77,64,62,60,64,61,65,67,68,69,51,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,5,1,6,1,0,0,2,13,15,4,6,1,2,18,33,0,1,0,4264,0,2,1,3,619,0,0,1,557,6,6,817,0,0,0,2,0,1,3,3,0,0,190,1310,1310,
27,26,Akito Hirose,https://www.nhl.com/player/8484254,0,CAN,1999-04-09,26,170,72,False,False,False,True,2,False,False,False,False,False,True,True,False,False,False,0,2121000,2121000,2121000,0,0,0,0,0,0,0,0,,0,100,0,8484254,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,64,37,84,57,68,76,72,58,30,56,55,59,48,66,68,42,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,27,Aku Raty,https://www.nhl.com/player/8481699,0,FIN,2001-07-05,24,170,72,False,False,True,False,4,False,False,False,False,False,True,True,False,False,False,0,2350000,2350000,2350000,2350000,2350000,0,0,0,0,0,0,,0,100,0,8481699,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,67,37,84,63,68,79,83,62,58,64,55,57,59,65,66,48,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,28,Albert Johansson,https://www.nhl.com/player/8481607,10,SWE,2001-01-04,24,168,72,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,2426000,2426000,2426000,2426000,0,0,0,0,0,0,0,,0,100,0,8481607,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,66,38,81,65,68,83,84,67,30,65,61,67,51,64,66,68,72,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,24,14,38,33,2,0,13,11,12,5,8,1,0,0,0,0,0,0,5930,2,1,0,3,948,1,0,1,621,12,14,916,0,0,0,2,0,1,0,0,2,2,130,8905,8905,
30,29,Alec Martinez,https://www.nhl.com/player/8474166,6,USA,1987-07-26,38,210,73,False,False,False,True,4,False,False,False,False,False,True,True,False,False,False,0,4608000,4608000,4608000,4608000,4608000,0,0,0,0,0,0,,0,100,0,8474166,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,64,36,95,66,79,89,78,63,30,73,65,78,55,86,78,26,36,70,5,9,1,0,1,-2,0,0,3,3,1,8,15,0,0,0,0,0,0,0,6063,0,1,0,1,686,0,0,0,551,0,3,467,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,
31,30,Aleksander Barkov,https://www.nhl.com/player/8477493,12,FIN,1995-09-02,30,214,75,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,3654000,3654000,3654000,3654000,3654000,0,0,0,0,0,0,Exhaustion,2,94,0,8477493,0,0,0,False,0,2,2,2,2,2,2,2,2,2,2,73,37,91,80,86,90,86,83,87,89,76,85,91,80,89,73,46,79,5,14,1,1,2,-2,2,0,2,2,11,3,4,0,0,60,115,0,0,0,7661,0,0,0,0,1004,1,0,3,1102,6,6,924,0,0,0,0,0,0,0,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,
32,31,Aleksandr Kisakov,https://www.nhl.com/player/8482697,0,RUS,2002-11-01,22,150,70,False,True,False,False,4,False,False,False,False,False,True,True,False,False,False,0,1380000,1380000,1380000,1380000,1380000,0,0,0,0,0,0,,0,100,0,8482697,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,60,37,86,57,60,80,67,56,55,54,58,53,57,63,65,70,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
